,0
0,0.6221054584470694
1,0.6221054584470694
2,0.6221054584470694
3,0.6221054584470694
4,0.6221054584470694
5,0.6221054584470694
6,0.6221054584470694
7,0.6221054584470694
8,0.6221054584470694
9,0.6221054584470694
10,0.6221054584470694
11,0.6221054584470694
12,0.6221054584470694
13,0.6221054584470694
14,0.6221054584470694
15,0.6221054584470694
16,0.6221054584470694
17,0.6221054584470694
18,0.6221054584470694
19,0.6221054584470694
20,0.6221054584470694
21,0.6221054584470694
22,0.6221054584470694
23,0.6221054584470694
24,0.6221054584470694
25,0.6221054584470694
26,0.6221054584470694
27,0.6221054584470694
28,0.6221054584470694
29,0.6221054584470694
30,0.6221054584470694
31,0.6221054584470694
32,0.6221054584470694
33,0.6221054584470694
34,0.6221054584470694
35,0.6221054584470694
36,0.6221054584470694
37,0.6221054584470694
38,0.6221054584470694
39,0.6221054584470694
40,0.6221054584470694
41,0.6221054584470694
42,0.6221054584470694
43,0.6221054584470694
44,0.6221054584470694
45,0.6221054584470694
46,0.6221054584470694
47,0.6221054584470694
48,0.6221054584470694
49,0.6221054584470694
50,0.6221054584470694
51,0.6221054584470694
52,0.6221054584470694
53,0.6221054584470694
54,0.6221054584470694
55,0.6221054584470694
56,0.6221054584470694
57,0.6221054584470694
58,0.6221054584470694
59,0.6221054584470694
60,0.6221054584470694
61,0.6221054584470694
62,0.6221054584470694
63,0.6221054584470694
64,0.6221054584470694
65,0.6221054584470694
66,0.6221054584470694
67,0.6221054584470694
68,0.6221054584470694
69,0.6221054584470694
70,0.6221054584470694
71,0.6221054584470694
72,0.6221054584470694
73,0.6221054584470694
74,0.6221054584470694
75,0.6221054584470694
76,0.6221054584470694
77,0.6221054584470694
78,0.6221054584470694
79,0.6221054584470694
80,0.6221054584470694
81,0.6221054584470694
82,0.6221054584470694
83,0.6221054584470694
84,0.6221054584470694
85,0.6221054584470694
86,0.6221054584470694
87,0.6221054584470694
88,0.6221054584470694
89,0.6221054584470694
90,0.6221054584470694
91,0.6221054584470694
92,0.6221054584470694
93,0.6221054584470694
94,0.6221054584470694
95,0.6221054584470694
96,0.6221054584470694
97,0.6221054584470694
98,0.6221054584470694
99,0.6221054584470694
